Team,#,Player,Attempted,Completed,Completion %
Barcelona,5,Pau Cubarsí,129,122,94.6
Barcelona,23,Jules Koundé,110,97,88.2
Barcelona,21,Frenkie de Jong,101,96,95.0
Barcelona,24,Eric García,75,71,94.7
Barcelona,10,Lamine Yamal,69,55,79.7
Barcelona,20,Dani Olmo,59,53,89.8
Barcelona,16,Fermín López,54,43,79.6
Barcelona,13,Joan García,41,39,95.1
Barcelona,18,Gerard Martín,38,35,92.1
Barcelona,19,Roony Bardghji,31,23,74.2
Barcelona,3,Alejandro Balde,25,20,80.0
Barcelona,11,Raphinha,25,19,76.0
Barcelona,4,Ronald Araujo,13,10,76.9
Barcelona,22,Marc Bernal,10,10,100.0
Barcelona,7,Ferran Torres,13,8,61.5
Barcelona,9,Robert Lewandowski,2,1,50.0
Girona,17,Daley Blind,41,33,80.5
Girona,4,Arnau Martínez,34,27,79.4
Girona,20,Axel Witsel,32,27,84.4
Girona,23,Iván Martín,31,25,80.6
Girona,2,Hugo Rincón,32,23,71.9
Girona,12,Vitor Reis,23,22,95.7
Girona,13,Paulo Gazzaniga,34,19,55.9
Girona,15,Viktor Tsygankov,26,19,73.1
Girona,21,Bryan Gil,21,18,85.7
Girona,11,Thomas Lemar,22,14,63.6
Girona,14,Claudio Echeverri,10,8,80.0
Girona,3,Joel Roca,10,6,60.0
Girona,8,Fran Beltrán,6,5,83.3
Girona,19,Vladyslav Vanat,10,5,50.0
Girona,16,Alejandro Francés,2,1,50.0
